company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,difficulty_score,daily_rank,difficulty_class
UA,1495,2025-08-05,ORD,TVC,0.1989223375772417,509.0,Difficult
UA,2100,2025-08-08,ORD,SLC,0.34695067308237915,217.0,Easy
UA,2640,2025-08-05,ORD,DCA,0.15929549652053887,520.0,Difficult
UA,224,2025-08-01,ORD,BZN,0.3504506478011259,295.0,Easy
OO,5392,2025-08-15,ORD,OKC,0.2996841255206863,305.0,Easy
OO,5984,2025-08-05,ORD,BIL,0.3720839695137001,96.0,Easy
OO,5737,2025-08-13,ORD,OMA,0.2618070944519518,434.0,Medium
G7,4552,2025-08-03,ORD,DAY,0.36250339990193176,130.0,Easy
G7,4476,2025-08-07,ORD,CAE,0.2881936137421494,461.0,Medium
G7,4482,2025-08-02,ORD,TUL,0.4090710545084173,69.0,Easy
OO,5557,2025-08-12,ORD,OKC,0.32536224231631766,132.0,Easy
UA,2683,2025-08-11,ORD,SAN,0.2863122813324366,468.0,Medium
OO,5557,2025-08-13,ORD,OKC,0.38009197734638434,30.0,Easy
YX,3716,2025-08-13,ORD,CMH,0.3302696236318301,198.0,Easy
UA,1616,2025-08-04,ORD,GRR,0.35588928945389936,55.0,Easy
YX,3440,2025-08-15,ORD,YYZ,0.26262518166149545,452.0,Medium
OO,5836,2025-08-10,ORD,TYS,0.3260836142553056,256.0,Easy
OO,5493,2025-08-06,ORD,ATW,0.35319129198837085,149.0,Easy
UA,1775,2025-08-10,ORD,FLL,0.37590039522540053,55.0,Easy
UA,2653,2025-08-05,ORD,RDU,0.3197731585042852,310.0,Easy
G7,4552,2025-08-15,ORD,DAY,0.29951806468974385,307.0,Easy
UA,1599,2025-08-11,ORD,DEN,0.372429850159687,108.0,Easy
UA,2666,2025-08-07,ORD,DEN,0.3478454217473392,224.0,Easy
YX,3536,2025-08-11,ORD,YUL,0.3172349933940434,353.0,Easy
YX,3409,2025-08-07,ORD,YOW,0.3388599106308821,266.0,Easy
G7,4590,2025-08-14,ORD,MDT,0.30317315209931067,298.0,Easy
UA,763,2025-08-01,ORD,PWM,0.35397942529958876,273.0,Easy
UA,2195,2025-08-08,ORD,BDL,0.2952769216598288,429.0,Medium
UA,1989,2025-08-12,ORD,BOS,0.3287209181974853,118.0,Easy
OO,5930,2025-08-10,ORD,FAR,0.2571821801033311,509.0,Difficult
UA,1793,2025-08-12,ORD,MSP,0.24483744111181885,390.0,Easy
UA,2677,2025-08-05,ORD,IAD,0.3370786541638221,238.0,Easy
OO,5521,2025-08-01,ORD,ATW,0.30892898675124636,457.0,Medium
UA,2487,2025-08-15,ORD,PHL,0.48271180031821986,1.0,Easy
YX,3614,2025-08-09,ORD,MCI,0.37260534901162046,64.0,Easy
YX,3708,2025-08-15,ORD,BNA,0.2384639013081009,495.0,Difficult
UA,1657,2025-08-08,ORD,LGA,0.26396949529378955,498.0,Difficult
OO,5915,2025-08-10,ORD,LNK,0.3097639612629322,353.0,Easy
OO,5790,2025-08-01,ORD,CRW,0.3618879877329468,227.0,Easy
UA,2427,2025-08-12,ORD,CVG,0.2695051911193084,329.0,Easy
UA,265,2025-08-15,ORD,YYZ,0.2750126606060971,407.0,Medium
UA,1996,2025-08-08,ORD,SJU,0.3173023284630157,345.0,Easy
OO,5229,2025-08-14,ORD,ILM,0.30106288412788534,316.0,Easy
UA,1361,2025-08-13,ORD,STL,0.3511745295696448,110.0,Easy
UA,1030,2025-08-09,ORD,ABQ,0.3478924935875369,150.0,Easy
OO,5020,2025-08-03,ORD,FOD,0.20500884156335733,544.0,Difficult
YX,3718,2025-08-10,ORD,MSN,0.36944583398355096,70.0,Easy
OO,5538,2025-08-09,ORD,HSV,0.22199397172202257,501.0,Difficult
UA,1778,2025-08-10,ORD,OMA,0.3812237049094439,42.0,Easy
UA,2137,2025-08-07,ORD,SLC,0.3616147998724181,166.0,Easy
UA,2137,2025-08-13,ORD,SLC,0.2679365855024444,426.0,Medium
UA,2427,2025-08-05,ORD,CVG,0.3179629294244039,320.0,Easy
G7,4482,2025-08-11,ORD,TUL,0.33076226232405276,303.0,Easy
UA,1304,2025-08-05,ORD,LAS,0.3573281825372873,144.0,Easy
OO,5250,2025-08-15,ORD,BNA,0.31352955115102327,255.0,Easy
UA,2666,2025-08-10,ORD,DEN,0.29338350167290167,421.0,Medium
OO,5568,2025-08-02,ORD,MLI,0.4058789892240691,80.0,Easy
OO,5849,2025-08-09,ORD,PWM,0.28222143983855896,414.0,Medium
UA,763,2025-08-12,ORD,PWM,0.3423005230182838,77.0,Easy
YX,3465,2025-08-05,ORD,GSP,0.35718140053922237,145.0,Easy
UA,476,2025-08-07,ORD,CVG,0.3162585478916332,376.0,Easy
UA,2254,2025-08-08,ORD,PDX,0.36544547281216466,132.0,Easy
UA,2427,2025-08-15,ORD,CVG,0.2602598570385367,456.0,Medium
UA,1491,2025-08-03,ORD,DFW,0.2793712169401893,477.0,Medium
YX,3628,2025-08-04,ORD,IND,0.28824611291197105,354.0,Easy
UA,2369,2025-08-08,ORD,AUS,0.3349882429418582,272.0,Easy
OO,5577,2025-08-11,ORD,JAX,0.32484738664908425,320.0,Easy
UA,422,2025-08-03,ORD,ATH,0.36771619326742455,108.0,Easy
UA,1041,2025-08-05,ORD,GRR,0.35453782165125736,154.0,Easy
UA,1044,2025-08-15,ORD,LAX,0.3478881420958127,106.0,Easy
UA,944,2025-08-08,ORD,FRA,0.47820780713877686,5.0,Easy
UA,1485,2025-08-15,ORD,SEA,0.3279862346418761,187.0,Easy
G7,4491,2025-08-01,ORD,CAE,0.34024666370151085,340.0,Easy
G7,4173,2025-08-06,ORD,AVL,0.29732510604690643,357.0,Easy
UA,2008,2025-08-13,ORD,MCO,0.36095460113698,77.0,Easy
OO,5538,2025-08-13,ORD,HSV,0.305141535548401,305.0,Easy
UA,2424,2025-08-03,ORD,RDU,0.34055217965816703,235.0,Easy
OO,5140,2025-08-01,ORD,CMX,0.3435277809691023,325.0,Easy
G7,4425,2025-08-11,ORD,GRR,0.374521187206189,100.0,Easy
UA,1830,2025-08-07,ORD,DSM,0.4119549049994636,23.0,Easy
G7,4468,2025-08-04,ORD,LEX,0.33564332531287766,123.0,Easy
UA,1811,2025-08-10,ORD,MSP,0.3453303531656195,166.0,Easy
G7,4518,2025-08-08,ORD,STL,0.4271375072456551,15.0,Easy
OO,5309,2025-08-11,ORD,FWA,0.24205398893893337,539.0,Difficult
OO,5469,2025-08-02,ORD,CVG,0.3490393313072997,321.0,Easy
YX,3468,2025-08-13,ORD,BGR,0.3673861095600221,57.0,Easy
OO,4748,2025-08-08,ORD,ATW,0.2835191291182893,455.0,Medium
UA,2323,2025-08-06,ORD,MCO,0.40326522813754717,29.0,Easy
OO,5819,2025-08-01,ORD,DLH,0.3494529476167913,301.0,Easy
UA,2040,2025-08-04,ORD,DEN,0.30928362281407185,242.0,Easy
UA,1599,2025-08-15,ORD,DEN,0.32377733338136494,208.0,Easy
UA,2370,2025-08-14,ORD,BOS,0.3233874734076973,201.0,Easy
UA,1495,2025-08-09,ORD,TVC,0.255515436416544,470.0,Medium
UA,2684,2025-08-13,ORD,FCA,0.3389388006807317,158.0,Easy
OO,5470,2025-08-01,ORD,GEG,0.32968953660508205,387.0,Easy
UA,1776,2025-08-13,ORD,PHL,0.3355303451383506,176.0,Easy
UA,1577,2025-08-12,ORD,SFO,0.2934927411319495,250.0,Easy
UA,1842,2025-08-06,ORD,SAN,0.34625041381306376,176.0,Easy
OO,5946,2025-08-14,ORD,RAP,0.3275038442342094,188.0,Easy
G7,4482,2025-08-07,ORD,TUL,0.3356958433191162,282.0,Easy
UA,600,2025-08-11,ORD,LAS,0.25049359277112737,530.0,Difficult
UA,2040,2025-08-01,ORD,DEN,0.36664360881822766,203.0,Easy
YX,3433,2025-08-10,ORD,CVG,0.3439724575838846,172.0,Easy
OO,5652,2025-08-13,ORD,GEG,0.33552611483438277,177.0,Easy
OO,5446,2025-08-04,ORD,CLE,0.2685635962791831,441.0,Medium
UA,534,2025-08-06,ORD,EWR,0.201480181606413,488.0,Difficult
UA,2106,2025-08-13,ORD,SFO,0.2202976627084035,481.0,Medium
UA,2323,2025-08-07,ORD,MCO,0.3906776313668233,56.0,Easy
UA,1612,2025-08-12,ORD,MEM,0.22842752632530394,417.0,Medium
YX,3614,2025-08-03,ORD,MCI,0.37553397122855137,73.0,Easy
OO,5383,2025-08-13,ORD,TVC,0.34031850303805233,153.0,Easy
UA,2039,2025-08-01,ORD,MCO,0.3508511641862562,291.0,Easy
UA,312,2025-08-04,ORD,CHS,0.3742488963716874,24.0,Easy
UA,1933,2025-08-01,ORD,LAS,0.33513693717763937,365.0,Easy
OO,5118,2025-08-14,ORD,PLN,0.2738234369002807,423.0,Medium
UA,288,2025-08-08,ORD,SNN,0.35575624699053415,173.0,Easy
OO,5395,2025-08-05,ORD,GSO,0.31167700972919066,337.0,Easy
OO,5868,2025-08-06,ORD,YWG,0.3369961514411611,205.0,Easy
OO,4748,2025-08-05,ORD,ATW,0.34301746680401785,205.0,Easy
OO,5124,2025-08-02,ORD,EAU,0.20471475131153175,518.0,Difficult
UA,1933,2025-08-12,ORD,LAS,0.21537083842726415,434.0,Medium
UA,293,2025-08-05,ORD,LGA,0.3085755890075604,354.0,Easy
UA,1834,2025-08-07,ORD,TPA,0.2534839895982374,520.0,Difficult
UA,970,2025-08-02,ORD,FCO,0.3035308771515164,456.0,Medium
UA,1657,2025-08-09,ORD,LGA,0.2783540938318789,424.0,Medium
OO,5275,2025-08-01,ORD,DLH,0.36067609809227813,237.0,Easy
YX,3520,2025-08-13,ORD,BDL,0.2910987881049158,353.0,Easy
UA,563,2025-08-05,ORD,EWR,0.26703986787357803,456.0,Medium
UA,1803,2025-08-09,ORD,DEN,0.3470276771631317,153.0,Easy
UA,980,2025-08-09,ORD,DUB,0.38188485694229946,44.0,Easy
OO,4789,2025-08-09,ORD,FAR,0.3060413094763424,339.0,Easy
OO,4645,2025-08-13,ORD,FWA,0.32893322021653437,205.0,Easy
UA,714,2025-08-01,ORD,MDT,0.3069818078813144,463.0,Medium
UA,2333,2025-08-03,ORD,BWI,0.33284536673631604,269.0,Easy
YX,3601,2025-08-03,ORD,YYZ,0.28431855983354337,465.0,Medium
UA,1859,2025-08-03,ORD,SNA,0.30852213760187935,395.0,Easy
UA,224,2025-08-13,ORD,BZN,0.36012626665489783,78.0,Easy
UA,2278,2025-08-15,ORD,SEA,0.3639029624890082,57.0,Easy
UA,1658,2025-08-02,ORD,EWR,0.27481595763180217,495.0,Difficult
OO,5344,2025-08-15,ORD,MBS,0.3152469757132793,247.0,Easy
UA,1564,2025-08-03,ORD,MSP,0.3483468359822351,199.0,Easy
G7,4416,2025-08-14,ORD,STL,0.36230006517999647,62.0,Easy
OO,5448,2025-08-03,ORD,FWA,0.34662316349085537,204.0,Easy
YX,3694,2025-08-09,ORD,OMA,0.3686685791832875,79.0,Easy
G7,4502,2025-08-13,ORD,LEX,0.3819542175797403,27.0,Easy
G7,4390,2025-08-08,ORD,CHA,0.29450294774208435,431.0,Medium
UA,2387,2025-08-07,ORD,MCO,0.3617046542370147,162.0,Easy
YX,3707,2025-08-09,ORD,IND,0.2773306244575705,428.0,Medium
YX,3604,2025-08-02,ORD,CMH,0.3941842528866059,117.0,Easy
YX,3542,2025-08-11,ORD,YUL,0.30997820092250133,380.0,Easy
OO,5444,2025-08-15,ORD,LIT,0.2629795397755966,450.0,Medium
UA,2090,2025-08-02,ORD,MIA,0.2959268736969252,469.0,Medium
YX,3571,2025-08-08,ORD,IND,0.3621324909395981,144.0,Easy
UA,2059,2025-08-06,ORD,PDX,0.3649964389360446,116.0,Easy
UA,1989,2025-08-01,ORD,BOS,0.33008337674297794,386.0,Easy
UA,2011,2025-08-14,ORD,YVR,0.2817743874808951,396.0,Easy
OO,4780,2025-08-14,ORD,CAK,0.31050861826914455,263.0,Easy
UA,1933,2025-08-04,ORD,LAS,0.29819227965045575,305.0,Easy
UA,2202,2025-08-12,ORD,IAH,0.42158829816537985,3.0,Easy
UA,2232,2025-08-08,ORD,MSP,0.31934728619821323,338.0,Easy
UA,1741,2025-08-09,ORD,JAC,0.3337623110836665,230.0,Easy
OO,5493,2025-08-13,ORD,ATW,0.3964858965184119,15.0,Easy
UA,845,2025-08-01,ORD,GRU,0.4505629296871035,10.0,Easy
UA,1740,2025-08-03,ORD,RSW,0.35898219123811964,153.0,Easy
UA,2628,2025-08-15,ORD,BNA,0.2308737084546468,505.0,Difficult
OO,5344,2025-08-11,ORD,MBS,0.3133908511479948,366.0,Easy
UA,1531,2025-08-14,ORD,DSM,0.38791789002449584,20.0,Easy
UA,622,2025-08-14,ORD,DEN,0.3326976251717644,168.0,Easy
UA,769,2025-08-15,ORD,BCN,0.3584640738035204,70.0,Easy
UA,767,2025-08-11,ORD,DEN,0.40041744573802857,30.0,Easy
UA,1983,2025-08-08,ORD,LAX,0.354361326096157,186.0,Easy
G7,4380,2025-08-13,ORD,SYR,0.3018964349120069,318.0,Easy
YX,3635,2025-08-04,ORD,MSN,0.31870256422865334,209.0,Easy
UA,1363,2025-08-02,ORD,LAX,0.3493707822441423,320.0,Easy
UA,2652,2025-08-04,ORD,RSW,0.34695179146298805,79.0,Easy
UA,758,2025-08-05,ORD,EWR,0.3505761865460444,171.0,Easy
UA,1634,2025-08-07,ORD,IAD,0.3476458714399106,227.0,Easy
OO,5376,2025-08-05,ORD,LEX,0.3505146466492498,172.0,Easy
OO,5362,2025-08-07,ORD,MKE,0.3334541319389481,292.0,Easy
UA,2195,2025-08-04,ORD,BDL,0.276269029398953,413.0,Medium
UA,1742,2025-08-09,ORD,JAX,0.42534092618153957,5.0,Easy
UA,378,2025-08-13,ORD,LAX,0.3094118362796274,281.0,Easy
OO,5624,2025-08-05,ORD,LEX,0.3863111244308352,57.0,Easy
UA,563,2025-08-13,ORD,EWR,0.3097538520650555,280.0,Easy
OO,5309,2025-08-15,ORD,FWA,0.35837724162251927,71.0,Easy
UA,2378,2025-08-14,ORD,LAX,0.24908975541646738,497.0,Difficult
YX,3433,2025-08-06,ORD,CVG,0.3480536462107432,167.0,Easy
G7,4518,2025-08-07,ORD,STL,0.3936183352334238,48.0,Easy
YX,3468,2025-08-04,ORD,BGR,0.3484184897293024,73.0,Easy
OO,5383,2025-08-05,ORD,TVC,0.4073843504281758,23.0,Easy
OO,5038,2025-08-06,ORD,PLN,0.25277577403179635,452.0,Medium
OO,5568,2025-08-11,ORD,MLI,0.34678411162982903,212.0,Easy
OO,5843,2025-08-15,ORD,ECP,0.23888773602250812,494.0,Difficult
OO,5643,2025-08-12,ORD,CAK,0.3267301528036006,126.0,Easy
UA,786,2025-08-11,ORD,BTV,0.3508622075282107,192.0,Easy
UA,1198,2025-08-03,ORD,CUN,0.3255373429541045,313.0,Easy
G7,4497,2025-08-09,ORD,ROA,0.36530150343156514,91.0,Easy
OO,5905,2025-08-02,ORD,MTJ,0.32190575760127205,425.0,Medium
OO,5026,2025-08-02,ORD,JST,0.24575167544311544,511.0,Difficult
OO,5555,2025-08-14,ORD,MKE,0.25022954504864636,493.0,Difficult
G7,4571,2025-08-05,ORD,XNA,0.34564446471679106,194.0,Easy
UA,1097,2025-08-05,ORD,DCA,0.1699186552331944,516.0,Difficult
UA,1834,2025-08-13,ORD,TPA,0.2781004904557597,397.0,Easy
UA,1975,2025-08-07,ORD,ATL,0.28803683654205736,463.0,Medium
G7,4458,2025-08-06,ORD,LIT,0.31865172136197595,270.0,Easy
G7,4568,2025-08-04,ORD,SCE,0.21842795036144103,549.0,Difficult
UA,1851,2025-08-14,ORD,ALB,0.3405141384663278,134.0,Easy
OO,5447,2025-08-04,ORD,PVD,0.28070481436768074,392.0,Easy
UA,1564,2025-08-07,ORD,MSP,0.34756193323694484,229.0,Easy
UA,1030,2025-08-04,ORD,ABQ,0.2709727432874245,436.0,Medium
UA,2417,2025-08-01,ORD,SAN,0.3574536917660422,256.0,Easy
UA,2155,2025-08-03,ORD,LAX,0.27707297762762706,487.0,Difficult
UA,1205,2025-08-12,ORD,EWR,0.3302211783002275,115.0,Easy
UA,1905,2025-08-11,ORD,PIT,0.39543614534244503,39.0,Easy
UA,2147,2025-08-05,ORD,ALB,0.38017017140008896,69.0,Easy
UA,1316,2025-08-13,ORD,SRQ,0.25236100810207407,453.0,Medium
UA,1377,2025-08-04,ORD,MYR,0.3571368979157713,50.0,Easy
G7,4185,2025-08-09,ORD,STL,0.3865245372564421,36.0,Easy
YX,3614,2025-08-12,ORD,MCI,0.3207318194635108,146.0,Easy
OO,5555,2025-08-10,ORD,MKE,0.3253899268204627,260.0,Easy
YX,3551,2025-08-01,ORD,SDF,0.3495068716093417,300.0,Easy
UA,1872,2025-08-15,ORD,MSP,0.3530659417719509,93.0,Easy
G7,4574,2025-08-11,ORD,YOW,0.3589742397613397,154.0,Easy
UA,476,2025-08-13,ORD,CVG,0.25089565021349497,457.0,Medium
OO,4789,2025-08-11,ORD,FAR,0.3707681085860031,116.0,Easy
G7,4517,2025-08-02,ORD,SCE,0.39207534032883723,123.0,Easy
OO,5230,2025-08-01,ORD,CRW,0.3608068437177064,235.0,Easy
UA,1941,2025-08-08,ORD,CVG,0.329082098209082,297.0,Easy
UA,310,2025-08-06,ORD,MCI,0.36031119766440994,124.0,Easy
UA,482,2025-08-15,ORD,CHS,0.24400632302150663,485.0,Medium
OO,5565,2025-08-13,ORD,CHO,0.30707122249654156,297.0,Easy
UA,1905,2025-08-04,ORD,PIT,0.30179730219072876,283.0,Easy
G7,4488,2025-08-09,ORD,DSM,0.3450118983615811,172.0,Easy
UA,1832,2025-08-14,ORD,CMH,0.3213111068189699,209.0,Easy
G7,4542,2025-08-02,ORD,LIT,0.3050179426972091,452.0,Medium
OO,4718,2025-08-15,ORD,DAY,0.3366424362350625,149.0,Easy
UA,2430,2025-08-09,ORD,BNA,0.3282609837276228,255.0,Easy
OO,5026,2025-08-10,ORD,JST,0.18821009123275478,543.0,Difficult
UA,275,2025-08-12,ORD,RAP,0.25906231162884896,359.0,Easy
UA,1477,2025-08-14,ORD,PHX,0.19553342387878372,538.0,Difficult
UA,1252,2025-08-03,ORD,DCA,0.2776312400374211,485.0,Medium
UA,2226,2025-08-04,ORD,CLE,0.31128186893723264,234.0,Easy
UA,1414,2025-08-01,ORD,BOI,0.3696876369538663,183.0,Easy
UA,2144,2025-08-03,ORD,YYZ,0.29502009199699014,439.0,Medium
UA,2666,2025-08-15,ORD,DEN,0.19751560404908836,533.0,Difficult
UA,1306,2025-08-06,ORD,TPA,0.2838855965620248,398.0,Easy
UA,1677,2025-08-01,ORD,BOS,0.3293274451391546,388.0,Easy
UA,944,2025-08-06,ORD,FRA,0.4419582686267468,11.0,Easy
OO,5795,2025-08-01,ORD,TUL,0.32444310127598874,397.0,Easy
OO,5376,2025-08-09,ORD,LEX,0.35188658574045795,134.0,Easy
UA,2677,2025-08-10,ORD,IAD,0.30350775335946395,379.0,Easy
OO,5392,2025-08-05,ORD,OKC,0.3480082826989815,184.0,Easy
UA,2609,2025-08-02,ORD,SNA,0.3229386866495699,421.0,Medium
UA,1129,2025-08-03,ORD,BOS,0.28206107705920946,473.0,Medium
UA,1793,2025-08-08,ORD,MSP,0.2781474208072011,469.0,Medium
OO,5593,2025-08-10,ORD,MEM,0.33085974367131266,235.0,Easy
G7,4194,2025-08-02,ORD,DAY,0.367106860499621,225.0,Easy
UA,1634,2025-08-05,ORD,IAD,0.3830888248124823,63.0,Easy
G7,4445,2025-08-01,ORD,BHM,0.35927550030257066,246.0,Easy
UA,1205,2025-08-13,ORD,EWR,0.3465156062732518,130.0,Easy
UA,2389,2025-08-13,ORD,RSW,0.20873617307705924,491.0,Difficult
UA,1129,2025-08-02,ORD,BOS,0.2982684762836769,465.0,Medium
UA,1576,2025-08-01,ORD,LGA,0.35186196621315585,280.0,Easy
UA,1580,2025-08-12,ORD,YVR,0.2125825499485643,435.0,Medium
G7,4194,2025-08-09,ORD,DAY,0.3493034494455517,146.0,Easy
UA,1097,2025-08-07,ORD,DCA,0.31698746408918604,372.0,Easy
OO,5253,2025-08-15,ORD,FCA,0.33060556947741787,175.0,Easy
OO,5868,2025-08-13,ORD,YWG,0.367891431262527,55.0,Easy
OO,5309,2025-08-08,ORD,FWA,0.36619913334586973,130.0,Easy
UA,1041,2025-08-07,ORD,GRR,0.3475009137386356,230.0,Easy
UA,1674,2025-08-09,ORD,AUA,0.2871259036452858,401.0,Easy
OO,5493,2025-08-09,ORD,ATW,0.3422757482189346,189.0,Easy
OO,5493,2025-08-12,ORD,ATW,0.34463505181821774,71.0,Easy
UA,1741,2025-08-02,ORD,JAC,0.3542821791782963,288.0,Easy
UA,1297,2025-08-08,ORD,DFW,0.3022568141872506,405.0,Medium
OO,5309,2025-08-09,ORD,FWA,0.35838845213374204,114.0,Easy
UA,669,2025-08-14,ORD,AUS,0.061682986969731526,558.0,Difficult
UA,1967,2025-08-08,ORD,LAX,0.3006511612690037,414.0,Medium
OO,4780,2025-08-15,ORD,CAK,0.31816395741860576,233.0,Easy
UA,1583,2025-08-01,ORD,BWI,0.3838149877040794,123.0,Easy
UA,2195,2025-08-01,ORD,BDL,0.3517217737726753,283.0,Easy
UA,288,2025-08-11,ORD,SNN,0.297010259298736,428.0,Medium
UA,1477,2025-08-10,ORD,PHX,0.22533716331362638,528.0,Difficult
UA,2618,2025-08-08,ORD,STL,0.40351461064420524,34.0,Easy
UA,763,2025-08-03,ORD,PWM,0.4266562991807902,9.0,Easy
UA,2378,2025-08-05,ORD,LAX,0.33661763576256903,241.0,Easy
UA,2440,2025-08-08,ORD,LAS,0.3427569477852098,235.0,Easy
UA,2099,2025-08-11,ORD,IAH,0.34602892821157955,220.0,Easy
UA,2202,2025-08-02,ORD,IAH,0.42712954273920567,30.0,Easy
OO,4778,2025-08-02,ORD,FAR,0.30171821874150867,460.0,Medium
OO,5375,2025-08-13,ORD,GRB,0.31626886660998077,264.0,Easy
OO,5037,2025-08-11,ORD,LAF,0.1865969919878967,559.0,Difficult
